INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT
Academy for Five Element Acupuncture,Gainesville,FL,29.650075,-82.321994,NULL,NULL,NULL,NULL
Academy of Career Training,Kissimmee,FL,28.306092,-81.439569,NULL,NULL,NULL,NULL
Miami Regional University,Miami Springs,FL,25.810667,-80.267007,NULL,NULL,NULL,NULL
Paul Mitchell the School-Miami,Miami,FL,25.68739,-80.313201,NULL,NULL,NULL,NULL
Aveda Institute-South Florida,Davie,FL,26.070447,-80.251766,NULL,NULL,NULL,NULL
Aveda Institute-Tallahassee,Tallahassee,FL,30.442037,-84.317892,NULL,NULL,NULL,NULL
Shear Excellence Hair Academy,Tampa,FL,28.027145,-82.503396,NULL,NULL,NULL,NULL
Carlson College of Massage Therapy,Anamosa,IA,42.103958,-91.356196,NULL,NULL,NULL,NULL
MyComputerCareer.com,Indianapolis,IN,39.729314,-86.25478,NULL,NULL,NULL,NULL
Z Hair Academy,Overland Park,KS,38.867002,-94.666351,NULL,NULL,NULL,NULL
DiGrigoli School of Cosmetology,West Springfield,MA,42.146311,-72.630272,NULL,NULL,NULL,NULL
Millennium Training Institute,Woburn,MA,42.495678,-71.12749,NULL,NULL,NULL,NULL
Elevate Salon Institute,Royal Oak,MI,42.525165,-83.164514,NULL,NULL,NULL,NULL
Lakewood School of Therapeutic Massage,Port Huron,MI,42.97236,-82.425714,NULL,NULL,NULL,NULL
The Salon Professional Academy-Battle Creek,Battle Creek,MI,42.297776,-85.224127,NULL,NULL,NULL,NULL
Academy of Hair Design-Springfield,Springfield,MO,37.180584,-93.261354,NULL,NULL,NULL,NULL
Corinth Academy of Cosmetology,Corinth,MS,34.934036,-88.520546,NULL,NULL,NULL,NULL
Southeastern Institute-Charlotte,Charlotte,NC,35.167928,-80.887233,NULL,NULL,NULL,NULL
Yeshivas Be'er Yitzchok,Elizabeth,NJ,40.682465,-74.213255,0.75,NULL,10900,10900
Yeshiva Toras Chaim,Lakewood,NJ,40.098692,-74.182143,0.6237,NULL,12250,12250
Talmudical Seminary of Bobov,Brooklyn,NY,40.634485,-73.995378,0.9545,NULL,10200,10200
Center for Allied Health Education,Brooklyn,NY,40.608783,-73.958977,NULL,NULL,NULL,NULL
Monroe 2 Orleans BOCES-Center for Workforce Development,Rochester,NY,43.152897,-77.744927,NULL,NULL,NULL,NULL
Aveda Fredric's Institute-Cincinnati,West Chester,OH,39.35541,-84.361091,NULL,NULL,NULL,NULL
MyComputerCareer.edu-Columbus,Westerville,OH,40.147019,-82.941874,NULL,NULL,NULL,NULL
CDE Career Institute,Tannersville,PA,41.033423,-75.303611,NULL,NULL,NULL,NULL
Instituto Educativo Premier,Ponce,PR,18.010734,-66.61498,NULL,NULL,NULL,NULL
Charleston School of Law,Charleston,SC,32.790288,-79.938357,NULL,NULL,NULL,NULL
Elite College of Cosmetology,Lexington,TN,35.657876,-88.409149,NULL,NULL,NULL,NULL
Memphis Institute of Barbering,Memphis,TN,35.158149,-90.014448,NULL,NULL,NULL,NULL
Manuel and Theresa's School of Hair Design-Bryan,Bryan,TX,30.667077,-96.370573,NULL,NULL,NULL,NULL
Southwest University at El Paso,El Paso,TX,31.788346,-106.413158,NULL,NULL,15500,15500
Paul Mitchell the School-Austin,Austin,TX,30.386375,-97.740293,NULL,NULL,NULL,NULL
Aveda Institute-Provo,Provo,UT,40.236621,-111.658335,NULL,NULL,NULL,NULL
Dixie Technical College,Saint George,UT,37.098418,-113.591475,NULL,NULL,NULL,NULL
Victoria's Academy of Cosmetology,Kennewick,WA,46.206992,-119.118142,NULL,NULL,NULL,NULL
Inland Massage Institute,Spokane,WA,47.744223,-117.39733,NULL,NULL,10375,10375
University of South Florida-Sarasota-Manatee,Sarasota,FL,27.39158,-82.562725,0.3243,1225,5587,16501
Paul Mitchell the School-San Antonio,San Antonio,TX,29.610611,-98.465779,NULL,NULL,NULL,NULL
CEM College-Bayamon,Bayamn,PR,18.398651,-66.155406,NULL,NULL,7425,7425
Bryant & Stratton College-Wauwatosa,Wauwatosa,WI,43.043215,-88.050983,NULL,NULL,18011,18011
The Art Institute of Austin,Austin,TX,30.479036,-97.675263,NULL,NULL,17568,17568
Remington College-Houston Southeast Campus,Webster,TX,29.52528,-95.123503,NULL,NULL,15529,15529
