INSTNM,CITY,STABBR,LATITUDE,LONGITUDE,ADM_RATE,SAT_AVG,TUITIONFEE_IN,TUITIONFEE_OUT
Alabama A & M University,Normal,AL,34.783368,-86.568502,0.8986,957,9744,18354
University of Alabama at Birmingham,Birmingham,AL,33.505697,-86.799345,0.9211,1220,8568,19704
Amridge University,Montgomery,AL,32.362609,-86.17401,NULL,NULL,6900,6900
University of Alabama in Huntsville,Huntsville,AL,34.724557,-86.640449,0.8087,1314,10714,22362
Alabama State University,Montgomery,AL,32.364317,-86.295677,0.9774,972,11068,19396
The University of Alabama,Tuscaloosa,AL,33.211875,-87.545978,0.5906,1252,10780,29230
Central Alabama Community College,Alexander City,AL,32.92478,-85.945266,NULL,NULL,4740,8610
Athens State University,Athens,AL,34.806793,-86.964698,NULL,NULL,NULL,NULL
Auburn University at Montgomery,Montgomery,AL,32.36736,-86.177544,0.9281,1084,8404,17812
Auburn University,Auburn,AL,32.599378,-85.488258,0.7543,1289,11276,30524
Birmingham-Southern College,Birmingham,AL,33.513774,-86.850552,0.5666,1232,17650,17650
Chattahoochee Valley Community College,Phenix City,AL,32.42391,-85.031485,NULL,NULL,4738,8608
South University-Montgomery,Montgomery,AL,32.342684,-86.216488,NULL,NULL,17014,17014
Enterprise State Community College,Enterprise,AL,31.297496,-85.836956,NULL,NULL,4740,8610
Coastal Alabama Community College,Bay Minette,AL,30.851343,-87.778193,NULL,NULL,4740,8610
Faulkner University,Montgomery,AL,32.384181,-86.21641,0.5227,1069,21690,21690
Gadsden State Community College,Gadsden,AL,33.994001,-85.991438,NULL,NULL,3840,7056
New Beginning College of Cosmetology,Albertville,AL,34.27871,-86.196931,NULL,NULL,NULL,NULL
George C Wallace Community College-Dothan,Dothan,AL,31.315274,-85.465836,NULL,NULL,4680,8550
George C Wallace State Community College-Hanceville,Hanceville,AL,34.072439,-86.781935,NULL,NULL,4740,8610
George C Wallace State Community College-Selma,Selma,AL,32.445917,-87.013294,NULL,NULL,4440,8310
Herzing University-Birmingham,Birmingham,AL,33.468466,-86.832465,0.95,NULL,14000,14000
Huntingdon College,Montgomery,AL,32.351034,-86.284366,0.5841,1100,27400,27400
Heritage Christian University,Florence,AL,34.856153,-87.663051,NULL,NULL,11232,11232
J. F. Drake State Community and Technical College,Huntsville,AL,34.771858,-86.572885,NULL,NULL,4710,8580
J F Ingram State Technical College,Deatsville,AL,32.582312,-86.392369,NULL,NULL,5328,5328
Jacksonville State University,Jacksonville,AL,33.822938,-85.765321,0.543,1135,8760,16536
Jefferson State Community College,Birmingham,AL,33.652535,-86.707233,NULL,NULL,4800,8670
John C Calhoun State Community College,Tanner,AL,34.645844,-86.949674,NULL,NULL,4820,8690
Judson College,Marion,AL,32.629253,-87.315206,0.482,1054,18510,18510
Lawson State Community College,Birmingham,AL,33.450814,-86.888844,NULL,NULL,4740,8610
University of West Alabama,Livingston,AL,32.588132,-88.186329,0.3966,1059,10040,18490
Lurleen B Wallace Community College,Andalusia,AL,31.322947,-86.452262,NULL,NULL,4740,8610
Marion Military Institute,Marion,AL,32.623734,-87.322041,0.5646,1155,9418,15418
Miles College,Fairfield,AL,33.482442,-86.908751,NULL,NULL,12132,12132
University of Mobile,Mobile,AL,30.793247,-88.128934,0.4704,1094,23230,23230
University of Montevallo,Montevallo,AL,33.10625,-86.865099,0.4848,1170,12760,25780
Northwest-Shoals Community College,Muscle Shoals,AL,34.739788,-87.678089,NULL,NULL,4711,8581
University of North Alabama,Florence,AL,34.806738,-87.681361,0.6434,1134,10142,18452
Northeast Alabama Community College,Rainsville,AL,34.545471,-85.911664,NULL,NULL,4740,8610
Oakwood University,Huntsville,AL,34.756344,-86.652705,0.6589,999,19732,19732
Reid State Technical College,Evergreen,AL,31.460265,-86.964797,NULL,NULL,4800,8670
Bishop State Community College,Mobile,AL,30.693972,-88.056982,NULL,NULL,4740,8610
Samford University,Birmingham,AL,33.464128,-86.791799,0.8208,1228,31650,31650
Selma University,Selma,AL,32.420387,-87.032392,NULL,NULL,7410,7410
Shelton State Community College,Tuscaloosa,AL,33.120531,-87.56148,NULL,NULL,4467,8907
Snead State Community College,Boaz,AL,34.201495,-86.169897,NULL,NULL,4800,8670
University of South Alabama,Mobile,AL,30.696033,-88.178711,0.7931,1186,8396,16292
Spring Hill College,Mobile,AL,30.694751,-88.138199,0.6577,1130,39464,39464
Stillman College,Tuscaloosa,AL,33.200006,-87.585278,0.3859,NULL,11092,11092
Talladega College,Talladega,AL,33.433472,-86.112704,NULL,NULL,13571,13571
H Councill Trenholm State Community College,Montgomery,AL,32.350109,-86.343057,NULL,NULL,4650,8520
Troy University,Troy,AL,31.800672,-85.957094,0.8767,1082,8908,16708
Tuskegee University,Tuskegee,AL,32.4309,-85.708492,0.5182,1119,22170,22170
United States Sports Academy,Daphne,AL,30.639329,-87.91163,NULL,NULL,NULL,NULL
Bevill State Community College,Jasper,AL,33.836929,-87.266406,NULL,NULL,5086,9214
University of Alaska Anchorage,Anchorage,AK,61.190163,-149.82619,0.8115,NULL,8580,24762
Alaska Bible College,Palmer,AK,61.598553,-149.111972,NULL,NULL,9600,9600
University of Alaska Fairbanks,Fairbanks,AK,64.85756,-147.823146,0.7611,1128,6657,20218
University of Alaska Southeast,Juneau,AK,58.384846,-134.638255,0.6333,NULL,7092,19856
Alaska Pacific University,Anchorage,AK,61.190968,-149.804168,0.8425,NULL,20760,20760
Alaska Vocational Technical Center,Seward,AK,60.110626,-149.444487,NULL,NULL,NULL,NULL
Charter College,Vancouver,WA,45.617798,-122.494766,1,NULL,22655,22655
Alaska Career College,Anchorage,AK,61.181443,-149.856954,NULL,NULL,NULL,NULL
Empire Beauty School-Tucson,Tucson,AZ,32.235657,-110.927187,NULL,NULL,NULL,NULL
Carrington College-Phoenix North,Phoenix,AZ,33.561689,-112.116105,0.8951,NULL,NULL,NULL
Carrington College-Mesa,Mesa,AZ,33.39248,-111.853218,NULL,NULL,NULL,NULL
Carrington College-Tucson,Tucson,AZ,32.224391,-110.983056,0.8736,NULL,NULL,NULL
CollegeAmerica-Flagstaff,Flagstaff,AZ,35.194495,-111.657673,NULL,NULL,16972,16972
Arizona Academy of Beauty-East,Tucson,AZ,32.237253,-110.872305,NULL,NULL,NULL,NULL
Platt College-Arizona Automotive Institute Arizona,Glendale,AZ,33.537249,-112.157344,NULL,NULL,NULL,NULL
Brookline College-Phoenix,Phoenix,AZ,33.566102,-112.112473,NULL,NULL,NULL,NULL
Arizona State University-Tempe,Tempe,AZ,33.417721,-111.934383,0.8478,1240,10822,28336
Arizona Western College,Yuma,AZ,32.689306,-114.495968,NULL,NULL,2720,9710
University of Arizona,Tucson,AZ,32.232672,-110.950815,0.8442,1198,12467,36366
Southwest University of Visual Arts-Tucson,Tucson,AZ,32.252879,-110.927265,NULL,NULL,23069,23069
Central Arizona College,Coolidge,AZ,32.957092,-111.652501,NULL,NULL,2580,11100
Charles of Italy Beauty College,Lake Havasu City,AZ,34.477485,-114.332686,NULL,NULL,NULL,NULL
Cochise County Community College District,Sierra Vista,AZ,31.564597,-110.246946,NULL,NULL,2040,6240
Empire Beauty School-Flagstaff,Flagstaff,AZ,35.197151,-111.625936,NULL,NULL,NULL,NULL
Empire Beauty School-Chandler,Chandler,AZ,33.347586,-111.860423,NULL,NULL,NULL,NULL
Cortiva Institute-Tucson,Tucson,AZ,32.21901,-110.856785,NULL,NULL,NULL,NULL
Avalon School of Cosmetology-Mesa,Mesa,AZ,33.376583,-111.858305,NULL,NULL,NULL,NULL
Eastern Arizona College,Thatcher,AZ,32.843664,-109.76234,NULL,NULL,2700,11400
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,34.616766,-112.449741,0.6723,NULL,35654,35654
School of Architecture at Taliesin,Scottsdale,AZ,33.607097,-111.845411,NULL,NULL,NULL,NULL
Glendale Community College,Glendale,AZ,33.570226,-112.190735,NULL,NULL,2070,7854
Grand Canyon University,Phoenix,AZ,33.513231,-112.129929,0.732,NULL,17050,17050
GateWay Community College,Phoenix,AZ,33.449686,-111.997077,NULL,NULL,2070,7854
Mesa Community College,Mesa,AZ,33.390323,-111.871255,NULL,NULL,2070,7854
Mohave Community College,Kingman,AZ,35.270996,-114.029838,NULL,NULL,2112,6972
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,Phoenix,AZ,33.684428,-112.121336,NULL,NULL,NULL,NULL
Dine College,Tsaile,AZ,36.293328,-109.21684,NULL,NULL,1410,1410
Northern Arizona University,Flagstaff,AZ,35.188449,-111.653724,0.8262,NULL,11564,25828
Northland Pioneer College,Holbrook,AZ,34.93031,-110.142199,NULL,NULL,1866,8610
Ottawa University-Phoenix,Phoenix,AZ,33.572173,-112.113001,NULL,NULL,NULL,NULL
Phoenix College,Phoenix,AZ,33.481361,-112.088293,NULL,NULL,2070,7854
Cortiva Institute-Scottsdale,Scottsdale,AZ,33.466153,-111.90807,NULL,NULL,NULL,NULL
Pima Community College,Tucson,AZ,32.222125,-110.886659,NULL,NULL,2142,7458
Pima Medical Institute-Tucson,Tucson,AZ,32.248067,-110.878783,NULL,NULL,NULL,NULL
Pima Medical Institute-Albuquerque,Albuquerque,NM,35.104855,-106.59488,NULL,NULL,NULL,NULL
Prescott College,Prescott,AZ,34.5452,-112.477185,0.9516,NULL,31485,31485
Refrigeration School Inc,Phoenix,AZ,33.448692,-111.989357,NULL,NULL,NULL,NULL
Rio Salado College,Tempe,AZ,33.413309,-111.97417,NULL,NULL,2070,7854
Roberto-Venn School of Luthiery,Phoenix,AZ,33.45489,-112.086161,NULL,NULL,NULL,NULL
Scottsdale Community College,Scottsdale,AZ,33.51135,-111.885186,NULL,NULL,2070,7854
South Mountain Community College,Phoenix,AZ,33.382406,-112.032635,NULL,NULL,2070,7854
Arizona Christian University,Glendale,AZ,33.622952,-112.181776,0.5644,1032,26796,26796
Universal Technical Institute of Arizona Inc,Avondale,AZ,33.453005,-112.288123,NULL,NULL,NULL,NULL
Empire Beauty School-NW Phoenix,Phoenix,AZ,33.538093,-112.118168,NULL,NULL,NULL,NULL
Yavapai College,Prescott,AZ,34.547495,-112.453395,NULL,NULL,2360,8998
University of Arkansas at Little Rock,Little Rock,AR,34.723254,-92.339778,0.7933,1099,9544,21754
University of Arkansas for Medical Sciences,Little Rock,AR,34.749048,-92.320046,NULL,NULL,NULL,NULL
Arkansas Baptist College,Little Rock,AR,34.734751,-92.290555,NULL,NULL,8760,8760
Arkansas Beauty School-Little Rock,Little Rock,AR,34.672171,-92.343366,NULL,NULL,NULL,NULL
Arkansas Beauty College,Russellville,AR,35.27902,-93.135369,NULL,NULL,NULL,NULL
Lyon College,Batesville,AR,35.777619,-91.625354,0.4986,1195,28790,28790
Arkansas College of Barbering and Hair Design,North Little Rock,AR,34.753843,-92.266429,NULL,NULL,NULL,NULL
Arthur's Beauty College Inc-Fort Smith,Fort Smith,AR,35.379955,-94.410967,NULL,NULL,NULL,NULL
University of Arkansas,Fayetteville,AR,36.070009,-94.176981,0.7747,1238,9130,25168
University of Arkansas at Pine Bluff,Pine Bluff,AR,34.244031,-92.018683,0.4435,978,8038,14398
Arkansas State University-Beebe,Beebe,AR,35.074176,-91.895351,NULL,NULL,2880,4608
Arkansas State University-Main Campus,Jonesboro,AR,35.842388,-90.679988,0.7721,1189,8607,15297
Arkansas Tech University,Russellville,AR,35.293237,-93.13562,0.9024,NULL,7254,12678
University of Arkansas at Monticello,Monticello,AR,33.590909,-91.811153,NULL,NULL,7462,13312
Arthur's Beauty College Inc-Jacksonville,Jacksonville,AR,34.891572,-92.102579,NULL,NULL,NULL,NULL
Baptist Health College Little Rock,Little Rock,AR,34.713115,-92.40692,0.6667,1015,10439,10439
Black River Technical College,Pocahontas,AR,36.239793,-90.951033,NULL,NULL,3168,5448
University of Central Arkansas,Conway,AR,35.077945,-92.457672,0.911,1186,8752,15275
Central Baptist College,Conway,AR,35.083838,-92.445021,0.6074,1004,16200,16200
Cossatot Community College of the University of Arkansas,De Queen,AR,34.043389,-94.3673,NULL,NULL,3450,4290
Crowley's Ridge College,Paragould,AR,36.064845,-90.584395,NULL,NULL,13600,13600
Crowley's Ridge Technical Institute,Forrest City,AR,35.039816,-90.767321,NULL,NULL,1350,1350
East Arkansas Community College,Forrest City,AR,35.041655,-90.767726,NULL,NULL,2880,3720
Eastern College of Health Vocations-Little Rock,Little Rock,AR,34.75128,-92.341891,NULL,NULL,NULL,NULL
Imagine-Paul Mitchell Partner School,North Little Rock,AR,34.789913,-92.222202,NULL,NULL,NULL,NULL
National Park College,Hot Springs,AR,34.512687,-93.119248,NULL,NULL,3750,5300
University of Arkansas Community College-Batesville,Batesville,AR,35.792923,-91.615852,NULL,NULL,2482,3274
Harding University,Searcy,AR,35.247386,-91.726143,0.7462,1222,19845,19845
Henderson State University,Arkadelphia,AR,34.128155,-93.059703,0.9055,1116,8530,10180
Hendrix College,Conway,AR,35.101565,-92.443256,0.7217,1346,45790,45790
Hot Springs Beauty College,Hot Springs,AR,34.496057,-93.037277,NULL,NULL,NULL,NULL
Jefferson Regional Medical Center School of Nursing,Pine Bluff,AR,34.187831,-92.018045,NULL,NULL,NULL,NULL
John Brown University,Siloam Springs,AR,36.189812,-94.560283,0.7715,1257,26928,26928
Career Academy of Hair Design,Springdale,AR,36.167605,-94.12947,NULL,NULL,NULL,NULL
Academy of Salon and Spa,Fort Smith,AR,35.38097,-94.41616,NULL,NULL,NULL,NULL
Arkansas State University Mid-South,West Memphis,AR,35.145736,-90.22285,NULL,NULL,2674,4114
Arkansas Northeastern College,Blytheville,AR,35.898597,-89.921005,NULL,NULL,2318,3998
New Tyler Barber College Inc,North Little Rock,AR,34.760085,-92.254171,NULL,NULL,NULL,NULL
North Arkansas College,Harrison,AR,36.219909,-93.08844,NULL,NULL,2280,4632
Northwest Technical Institute,Springdale,AR,36.178032,-94.115346,NULL,NULL,2326,2326
Ouachita Baptist University,Arkadelphia,AR,34.126093,-93.052471,0.636,1193,26790,26790
Arkansas State University Three Rivers,Malvern,AR,34.378745,-92.821416,NULL,NULL,3890,6800
Ozarka College,Melbourne,AR,36.053031,-91.896355,NULL,NULL,3004,5356
University of the Ozarks,Clarksville,AR,35.476278,-93.467221,0.5232,NULL,24230,24230
University of Arkansas Community College-Morrilton,Morrilton,AR,35.172136,-92.728507,0.7415,NULL,3140,4076
Philander Smith College,Little Rock,AR,34.737131,-92.283015,NULL,NULL,13014,13014
Phillips Community College of the University of Arkansas,Helena,AR,34.546155,-90.616884,NULL,NULL,2930,4760
Southeast Arkansas College,Pine Bluff,AR,34.210309,-92.025936,NULL,NULL,3855,6735
Professional Cosmetology Education Center,El Dorado,AR,33.216032,-92.664101,NULL,NULL,NULL,NULL
University of Arkansas-Pulaski Technical College,North Little Rock,AR,34.782783,-92.299184,NULL,NULL,5252,6447
University of Arkansas Hope-Texarkana,Hope,AR,33.641665,-93.596762,NULL,NULL,2830,4090
University of Arkansas Community College Rich Mountain,Mena,AR,34.591449,-94.219799,NULL,NULL,2880,3936
Paul Mitchell the School-Arkansas,Fayetteville,AR,36.126373,-94.153892,NULL,NULL,NULL,NULL
Searcy Beauty College,Searcy,AR,35.239148,-91.735135,NULL,NULL,NULL,NULL
Shorter College,N Little Rock,AR,34.75933,-92.261331,NULL,NULL,5500,5500
Williams Baptist University,Walnut Ridge,AR,36.125676,-90.940277,0.5639,1034,17320,17320
South Arkansas Community College,El Dorado,AR,33.209446,-92.666087,NULL,NULL,2700,4812
Southern Arkansas University Main Campus,Magnolia,AR,33.291618,-93.235922,0.6878,1105,8756,12866
Southern Arkansas University Tech,Camden,AR,33.628367,-92.721629,NULL,NULL,4977,6417
Velvatex College of Beauty Culture,Little Rock,AR,34.735685,-92.289597,NULL,NULL,NULL,NULL
University of Arkansas-Fort Smith,Fort Smith,AR,35.384184,-94.373729,NULL,NULL,5593,12666
Academy of Art University,San Francisco,CA,37.787943,-122.400578,NULL,NULL,22308,22308
Academy of Chinese Culture and Health Sciences,Oakland,CA,37.805972,-122.269839,NULL,NULL,NULL,NULL
The Academy of Radio and TV Broadcasting,Huntington Beach,CA,33.729535,-117.987762,NULL,NULL,NULL,NULL
Avalon School of Cosmetology-Alameda,Alameda,CA,37.764203,-122.243566,NULL,NULL,NULL,NULL
College of Alameda,Alameda,CA,37.781017,-122.279303,NULL,NULL,1254,7806
Allan Hancock College,Santa Maria,CA,34.943716,-120.421144,NULL,NULL,1352,6784
American Academy of Dramatic Arts-Los Angeles,Los Angeles,CA,34.095378,-118.343701,0.7892,NULL,35160,35160
American Baptist Seminary of the West,Berkeley,CA,37.865252,-122.256149,NULL,NULL,NULL,NULL
American Film Institute Conservatory,Los Angeles,CA,34.10767,-118.310018,NULL,NULL,NULL,NULL
American Beauty College,West Covina,CA,34.069367,-117.936959,NULL,NULL,NULL,NULL
American Career College-Los Angeles,Los Angeles,CA,34.079323,-118.292481,NULL,NULL,NULL,NULL
American Conservatory Theater,San Francisco,CA,37.787343,-122.40475,NULL,NULL,29560,29560
American River College,Sacramento,CA,38.65085,-121.349672,NULL,NULL,1104,8712
Antelope Valley College,Lancaster,CA,34.676207,-118.186166,NULL,NULL,1124,6500
Art Center College of Design,Pasadena,CA,34.169031,-118.185102,0.6765,NULL,43416,43416
Associated Technical College-Los Angeles,Los Angeles,CA,34.056102,-118.272364,NULL,NULL,NULL,NULL
Associated Technical College-San Diego,San Diego,CA,32.715375,-117.157988,NULL,NULL,NULL,NULL
Azusa Pacific University,Azusa,CA,34.130047,-117.888375,0.6851,1147,38880,38880
Bakersfield College,Bakersfield,CA,35.40911,-118.973753,NULL,NULL,1325,7261
Barstow Community College,Barstow,CA,34.870285,-117.023412,NULL,NULL,1104,6720
Bellus Academy-Chula Vista,Chula Vista,CA,32.614773,-117.083738,NULL,NULL,NULL,NULL
Bethesda University,Anaheim,CA,33.842295,-117.941323,NULL,NULL,8095,8095
Biola University,La Mirada,CA,33.906203,-118.014374,0.7347,1170,40488,40488
Brownson Technical School,Anaheim,CA,33.819032,-117.905774,NULL,NULL,NULL,NULL
Bryan University,Tempe,AZ,33.437779,-111.944197,NULL,NULL,11025,11025
Butte College,Oroville,CA,39.649782,-121.644831,NULL,NULL,1368,6984
California Institute of Integral Studies,San Francisco,CA,37.774924,-122.416102,NULL,NULL,NULL,NULL
Cabrillo College,Aptos,CA,36.989448,-121.924797,NULL,NULL,1270,7462
California Baptist University,Riverside,CA,33.929321,-117.425619,0.7955,1103,33478,33478
California College of the Arts,San Francisco,CA,37.767485,-122.399451,0.8818,NULL,49138,49138
University of California-Hastings College of Law,San Francisco,CA,37.781137,-122.4157,NULL,NULL,NULL,NULL
California Institute of Technology,Pasadena,CA,34.137349,-118.125878,0.0662,1566,52362,52362
California Lutheran University,Thousand Oaks,CA,34.224566,-118.878924,0.7147,1163,42692,42692
California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,35.299513,-120.657311,0.3017,1339,9816,21696
Alliant International University-San Diego,San Diego,CA,32.897056,-117.094398,1,NULL,14600,14600
California State University-Bakersfield,Bakersfield,CA,35.350005,-119.104711,0.2302,NULL,7309,19189
California State University-Stanislaus,Turlock,CA,37.52577,-120.852511,0.8582,NULL,7072,18952
California State University-San Bernardino,San Bernardino,CA,34.182622,-117.323801,0.5483,991,6922,18802
California State Polytechnic University-Pomona,Pomona,CA,34.057912,-117.821476,0.5515,1143,7353,19233
California State University-Chico,Chico,CA,39.729712,-121.844859,0.6526,1092,7608,19488
California State University-Dominguez Hills,Carson,CA,33.864766,-118.255917,0.6394,NULL,6942,18822
California State University-Fresno,Fresno,CA,36.811154,-119.744569,0.5753,1019,6587,18467
California State University-Fullerton,Fullerton,CA,33.881506,-117.885446,0.4341,1124,6886,18766
California State University-East Bay,Hayward,CA,37.657694,-122.054135,0.716,NULL,6983,18863
California State University-Long Beach,Long Beach,CA,33.782818,-118.11204,0.3121,1146,6798,18678
California State University-Los Angeles,Los Angeles,CA,34.066927,-118.168965,0.4152,978,6749,18629
California State University-Northridge,Northridge,CA,34.240126,-118.529319,0.5063,1027,6893,18773
California State University-Sacramento,Sacramento,CA,38.559415,-121.423549,0.6386,1030,7310,19190
University of California-Berkeley,Berkeley,CA,37.871918,-122.260463,0.1484,1448,14184,43176
University of California-Davis,Davis,CA,38.539667,-121.749567,0.4107,1292,14402,43394
University of California-Irvine,Irvine,CA,33.648434,-117.841248,0.2876,1316,13700,42692
University of California-Los Angeles,Los Angeles,CA,34.068892,-118.443901,0.1404,1423,13226,42218
University of California-Riverside,Riverside,CA,33.97246,-117.32741,0.5057,1229,13827,42819
University of California-San Diego,La Jolla,CA,32.877749,-117.235866,0.3006,1372,14167,43159
University of California-San Francisco,San Francisco,CA,37.763737,-122.458489,NULL,NULL,NULL,NULL
University of California-Santa Barbara,Santa Barbara,CA,34.416297,-119.846426,0.322,1360,14391,43383
University of California-Santa Cruz,Santa Cruz,CA,36.995584,-122.058801,0.4737,1311,13960,42952
Sofia University,Palo Alto,CA,37.430325,-122.10866,NULL,NULL,NULL,NULL
California Beauty School,Modesto,CA,37.645217,-120.99689,NULL,NULL,NULL,NULL
California Christian College,Fresno,CA,36.749366,-119.711123,1,NULL,9570,9570
California Coast University,Santa Ana,CA,33.753135,-117.86524,NULL,NULL,4500,4500
California Hair Design Academy,La Mesa,CA,32.765221,-117.024261,NULL,NULL,NULL,NULL
California Institute of the Arts,Valencia,CA,34.39327,-118.566837,0.2297,NULL,49276,49276
California State University Maritime Academy,Vallejo,CA,38.069061,-122.231551,0.6652,NULL,7056,18936
California Western School of Law,San Diego,CA,32.722192,-117.162416,NULL,NULL,NULL,NULL
Canada College,Redwood City,CA,37.44877,-122.265398,NULL,NULL,1360,7744
College of the Canyons,Santa Clarita,CA,34.403993,-118.568698,NULL,NULL,1156,7612
Career Academy of Beauty,Garden Grove,CA,33.781018,-118.031697,NULL,NULL,NULL,NULL
Casa Loma College-Van Nuys,Van Nuys,CA,34.192829,-118.457781,0.913,NULL,NULL,NULL
CET-San Diego,San Diego,CA,32.711302,-117.105328,NULL,NULL,NULL,NULL
CET-San Jose,San Jose,CA,37.322723,-121.88698,NULL,NULL,NULL,NULL
CET-El Centro,El Centro,CA,32.790908,-115.549079,NULL,NULL,NULL,NULL
CET-Colton,Colton,CA,34.077381,-117.353488,NULL,NULL,NULL,NULL
CET-Watsonville,Watsonville,CA,36.931833,-121.767991,NULL,NULL,NULL,NULL
CET-Salinas,Salinas,CA,36.707333,-121.65236,NULL,NULL,NULL,NULL
Cerritos College,Norwalk,CA,33.886874,-118.097337,NULL,NULL,1346,8710
Cerro Coso Community College,Ridgecrest,CA,35.567525,-117.66767,NULL,NULL,1290,7254
Chabot College,Hayward,CA,37.642458,-122.105636,NULL,NULL,1142,7742
Chaffey College,Rancho Cucamonga,CA,34.147663,-117.573932,NULL,NULL,1172,7604
Chapman University,Orange,CA,33.79302,-117.852518,0.5356,1288,52724,52724
Charles R Drew University of Medicine and Science,Los Angeles,CA,33.925658,-118.242791,0.3727,982,13972,13972
Concordia University-Irvine,Irvine,CA,33.653665,-117.812305,0.6178,1142,35400,35400
San Diego Christian College,Santee,CA,32.842404,-116.978112,0.6013,1055,31404,31404
Church Divinity School of the Pacific,Berkeley,CA,37.876184,-122.261122,NULL,NULL,NULL,NULL
Citrus College,Glendora,CA,34.135487,-117.885266,NULL,NULL,1190,7646
Citrus Heights Beauty College,Citrus Heights,CA,38.712951,-121.289529,NULL,NULL,NULL,NULL
City College of San Francisco,San Francisco,CA,37.725953,-122.451155,NULL,NULL,1696,10372
Claremont Graduate University,Claremont,CA,34.103585,-117.713703,NULL,NULL,NULL,NULL
Claremont McKenna College,Claremont,CA,34.102154,-117.711188,0.0931,1446,54405,54405
Milan Institute-Visalia,Visalia,CA,36.27164,-119.312151,NULL,NULL,NULL,NULL
Clovis Adult Education,Clovis,CA,36.834459,-119.690369,NULL,NULL,NULL,NULL
Coastline Community College,Fountain Valley,CA,33.715634,-117.929143,NULL,NULL,1150,6526
Cogswell College,San Jose,CA,37.414049,-121.94087,0.5787,NULL,20056,20056
Coba Academy,Anaheim,CA,33.841141,-117.943108,NULL,NULL,NULL,NULL
Western University of Health Sciences,Pomona,CA,34.058092,-117.747732,NULL,NULL,NULL,NULL
Columbia College,Sonora,CA,38.030367,-120.388385,NULL,NULL,1166,7358
Columbia College Hollywood,Tarzana,CA,34.17972,-118.538793,NULL,NULL,24495,24495
Compton College,Compton,CA,33.878226,-118.209463,NULL,NULL,1142,6326
Contra Costa College,San Pablo,CA,37.969381,-122.337377,NULL,NULL,1312,8564
Cosumnes River College,Sacramento,CA,38.45295,-121.423108,NULL,NULL,1104,8712
Crafton Hills College,Yucaipa,CA,34.039178,-117.101173,NULL,NULL,1144,8104
Cuesta College,San Luis Obispo,CA,35.331276,-120.742235,NULL,NULL,1338,8702
Cuyamaca College,El Cajon,CA,32.744954,-116.943507,NULL,NULL,1386,7196
Cypress College,Cypress,CA,33.82833,-118.025143,NULL,NULL,1142,6158
De Anza College,Cupertino,CA,37.320788,-122.045558,NULL,NULL,1561,7501
International School of Beauty Inc,Palm Desert,CA,33.729555,-116.403928,NULL,NULL,NULL,NULL
Dell'Arte International School of Physical Theatre,Blue Lake,CA,40.880924,-123.988808,NULL,NULL,13350,13350
College of the Desert,Palm Desert,CA,33.732108,-116.388271,NULL,NULL,1335,8615
Design Institute of San Diego,San Diego,CA,32.880926,-117.167374,0.5882,NULL,23860,23860
Diablo Valley College,Pleasant Hill,CA,37.968516,-122.073142,NULL,NULL,1312,8564
Dominican University of California,San Rafael,CA,37.981279,-122.512051,0.8717,1126,45850,45850
Dominican School of Philosophy & Theology,Berkeley,CA,37.881099,-122.264612,NULL,NULL,NULL,NULL
East Los Angeles College,Monterey Park,CA,34.040531,-118.148785,NULL,NULL,1220,7746
El Camino Community College District,Torrance,CA,33.885229,-118.329913,NULL,NULL,1144,6520
Elegance International,Hollywood,CA,34.098445,-118.338111,NULL,NULL,NULL,NULL
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,34.030438,-118.485119,NULL,NULL,NULL,NULL
Empire College,Santa Rosa,CA,38.468052,-122.729337,NULL,NULL,NULL,NULL
Evergreen Valley College,San Jose,CA,37.30167,-121.76561,NULL,NULL,1358,7994
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,Los Angeles,CA,34.044209,-118.25993,0.5193,NULL,32293,32293
FIDM-Fashion Institute of Design & Merchandising-San Francisco,San Francisco,CA,37.786353,-122.406651,0.4615,NULL,32293,32293
FIDM-Fashion Institute of Design & Merchandising-Orange County,Irvine,CA,33.691963,-117.852254,0.6667,NULL,32293,32293
Feather River Community College District,Quincy,CA,39.953101,-120.973067,NULL,NULL,1461,8511
Federico Beauty Institute,Sacramento,CA,38.64883,-121.497761,NULL,NULL,NULL,NULL
Fielding Graduate University,Santa Barbara,CA,34.42941,-119.717161,NULL,NULL,NULL,NULL
Five Branches University,Santa Cruz,CA,36.964348,-121.998245,NULL,NULL,NULL,NULL
Redondo Beach Beauty College,Redondo Beach,CA,33.873098,-118.372137,NULL,NULL,NULL,NULL
Foothill College,Los Altos Hills,CA,37.361655,-122.127964,NULL,NULL,1563,7503
Franciscan School of Theology,Oceanside,CA,33.232416,-117.320066,NULL,NULL,NULL,NULL
Fredrick and Charles Beauty College,Eureka,CA,40.798885,-124.164986,NULL,NULL,NULL,NULL
Fresno City College,Fresno,CA,36.768164,-119.796096,NULL,NULL,1304,7496
Fresno Pacific University,Fresno,CA,36.726831,-119.735199,0.8511,1053,32458,32458
Fuller Theological Seminary,Pasadena,CA,34.14778,-118.140261,NULL,NULL,NULL,NULL
Fullerton College,Fullerton,CA,33.875514,-117.918255,NULL,NULL,1138,6010
